instrument_token,tradingsymbol,name,exchange
136148996,NAGTECH,NAGARJUNA AGRI TECH,BSE
136149508,NATHUEC,NATURA HUE CHEM,BSE
136151044,IECEDU,IEC EDUCATION,BSE
136151300,INDUSFINL,INDUS FINANCE ,BSE
136151556,LAHOTIOV,LAHOTI OVERSEAS,BSE
136152324,ZENITHSTL,ZENITH STEEL PIPES AND  INDUST,BSE
136152580,TRINITYLEA,TRINITY LEAGUE INDIA,BSE
136152836,ASTAR,ASIAN STAR CO.LTD.,BSE
136155908,ORIRAIL,ORIENTAL RAIL INFRASTRUCTURE L,BSE
136156420,JOINDRE,JOINDRE CAPITAL SERVICES,BSE
136156676,BHARATAGRI,BHARAT AGRI FERT & REALTY,BSE
136157956,UNITINT,UNITECH INTERNATIONAL,BSE
136158468,SACHEMT,SACHETA METALS,BSE
136158724,POPULARES,POPULAR ESTATE MANAGEMENT,BSE
136160772,ANJANIFIN,ANJANI FINANCE,BSE
136162564,SVAINDIA,SVA INDIA,BSE
136163076,TACENT,TACENT PROJECTS ,BSE
136163332,REXNORD,REXNORD ELECTRONICS & CONTROLS,BSE
136163588,IIL,INTEGRATED INDUSTRIES,BSE
136164356,KHANDSE,KHANDWALA SECURITIES,BSE
136164612,SAWACA,SAWACA ENTERPRISES,BSE
136166404,CCLINTER,CCL INTERNATIONAL,BSE
136166916,GALLOPENT,GALLOPS ENTERPRISE,BSE
136168708,CROISSANCE,CROISSANCE,BSE
136168964,MADHUVEER,MADHUVEER COM 18 NETWORK LIMIT,BSE
136169220,GALAGEX,GALAXY AGRICO EXPORTS,BSE
136169732,GOPAIST,GOPAL IRON & STEELS CO.(GUJARA,BSE
136171012,HINDAPL,HINDUSTAN APPLIANCES,BSE
136171780,AGARIND,AGARWAL INDUSTRIAL CORPORATION,BSE
136172292,DHAMPURE,DHAMPURE SPECIALITY SUGARS,BSE
136172804,SHAQUAK,SHANTANU SHEOREY AQUAKULT,BSE
136173572,GOLCA,GOLDEN CARPETS,BSE
136173828,INNOCORP,INNOCORP,BSE
136174084,SARTHAKIND,SARTHAK INDUSTRIES,BSE
136174340,SAICAPI,SAI CAPITAL,BSE
136175620,BLUECHIP,BLUE CHIP INDIA,BSE
136177668,LEXORAA,LEXORAA INDUSTRIES,BSE
136178180,CHADPAP,CHADHA PAPERS,BSE
136179204,VERTEX,VERTEX SECURITIES,BSE
136179716,RIBATEX,RIBA TEXTILES,BSE
136181508,NEWINFRA,NEWTIME INFRASTRUCTURE,BSE
136181764,KASHYAP,KASHYAP TELE-MEDICINES ,BSE
136182276,SHREMETAL,SHREE METALLOYS,BSE
136183812,IITLPROJ,IITL PROJECTS,BSE
136184580,HARIGOV,HARI GOVIND INTERNATIONAL,BSE
136186116,CHLOGIST,CHARTERED LOGISTICS,BSE
136186372,AMBIKCO,AMBIKA COTTON MILLS,BSE
136186628,HINDALUMI,HIND ALUMINIUM INDUSTRIES,BSE
136186884,SENINFO,SENTHIL INFOTEK,BSE
136187396,SPECFOOD,SPECTRUM FOODS,BSE
136189188,DECPO,DECCAN POLYPACKS,BSE
136189700,AMRAAGRI,AMRAWORLD AGRICO,BSE
136190468,AUTOPINS,AUTO PINS (INDIA),BSE
136190980,ODYCORP,ODYSSEY CORPORATION,BSE
136191236,VUENOW,VUENOW INFRATECH,BSE
136192260,INDCTST,INDUCTO STEEL,BSE
136193284,SAMINDUS,SAM INDUSTRIES,BSE
136193796,SHVFL,SHREEVATSAA FINANCE & LEASING,BSE
136194820,POOJAENT,VASHU BHAGNANI INDUSTRIES LIMI,BSE
136195844,GRAVITY,GRAVITY (INDIA),BSE
136196100,ESPIRE,ESPIRE HOSPITALITY,BSE
136196868,LCCINFOTEC,LCC INFOTECH,BSE
136197636,FILATFASH,FILATEX FASHIONS,BSE
136198148,AARCON,AARCON FACILITIES,BSE
136199428,SINDHUTRAD,SINDHU TRADE LINKS,BSE
136200964,UNISTRMU,UNISTAR MULTIMEDIA,BSE
136201988,ZENOTECH,ZENOTECH LABORATORIES,BSE
136202500,HINDBIO,HINDUSTAN BIO SCIENCES,BSE
136202756,FRONTCORP,FRONTLINE CORPORATION,BSE
136205060,SWELECTES,SWELECT ENERGY SYSTEMS,BSE
136205572,WALLFORT,WALLFORT FINANCIAL SERVICES LT,BSE
136205828,KDDL,KDDL,BSE
136206340,ADIEXRE,ADINATH EXIM RESOURCES,BSE
136206596,ABHICAP,ABHINAV CAPITAL SERVICES,BSE
136209156,3BBLACKBIO,3B BLACKBIO DX ,BSE
136209924,SUMUKA,SUMUKA AGRO INDUSTRIES ,BSE
136210436,INTERDIGI,INTERWORLD DIGITAL,BSE
136211972,MONIND,MONIND,BSE
136213252,SHKALYN,SHRI KALYAN HOLDINGS,BSE
136215044,VANDANA,VANDANA KNITWEAR,BSE
136215556,EPUJA,EPUJA SPIRITECH,BSE
136217604,INDOCITY,INDO-CITY INFOTECH,BSE
136218116,SBECSUG,SBEC SUGAR,BSE
136218884,MEGFI,MEGA FIN (INDIA),BSE
136220932,BRIJLEAS,BRIJLAXMI LEASING & FINANCE LT,BSE
136223492,BSELALGO,BSEL ALGO,BSE
136223748,RELIABVEN,RELIABLE VENTURES INDIA,BSE
136225540,TRIUMPIN,TRIUMPH INTERNATIONAL FINANCE,BSE
136226308,BANKBARODA,BANK OF BARODA,BSE
136227332,SMCREDT,SMC CREDITS,BSE
136227588,GTEIT,G-TECH INFO-TRAINING,BSE
136227844,MOHITE,MOHITE INDUSTRIES,BSE
136228100,ACL,ANDHRA CEMENTS,BSE
136228612,SKMEGGPROD,SKM EGG PRODUCTS EXPORT (INDIA,BSE
136228868,WELCORP,WELSPUN CORP,BSE
136229124,HOTLSILV,H.S.INDIA,BSE
136230148,BANKINDIA,BANK OF INDIA,BSE
136230404,INDRAMEDCO,INDRAPRASTHA MEDICAL CORP.LTD.,BSE
136231428,JOHNPHARMA,JOHNSON PHARMACARE,BSE
136231684,GAIL,GAIL (INDIA),BSE
136231940,VAIBHAVGBL,VAIBHAV GLOBAL,BSE
136232708,TRESCON,TRESCON,BSE
136232964,GUJSTATFIN,GUJARAT STATE FINANCIAL CORPOR,BSE
136233476,JKPAPER,JK PAPER,BSE
136233732,SAREGAMA,SAREGAMA INDIA,BSE
136233988,MINOLTAF,MINOLTA FINANCE,BSE
136234756,OMKARPH,OMKAR PHARMACHEM,BSE
136236036,ADROITINFO,ADROIT INFOTECH ,BSE
136236292,CYBERTECH,CYBERTECH SYSTEMS AND SOFTWARE,BSE
136236548,ICICIBANK,ICICI BANK,BSE
136236804,CYIENT,CYIENT,BSE
136237572,ENGINERSIN,ENGINEERS INDIA,BSE
136238084,DHANBANK,DHANLAXMI BANK,BSE
136238340,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CO,BSE
136238852,GAYATRI,GAYATRI SUGARS,BSE
136239876,INDUSINDBK,INDUSIND BANK,BSE
136240388,ITDC,INDIA TOURISM DEVELOPMENT CORP,BSE
136245508,J&KBANK,JAMMU & KASHMIR BANK,BSE
136245764,CUB,CITY UNION BANK,BSE
136246276,ARCHIES,ARCHIES,BSE
136247044,AXISBANK,AXIS BANK,BSE
136247300,HBSL,HB STOCKHOLDINGS,BSE
136247556,SIELFNS,SIEL FINANCIAL SERVICES,BSE
136247812,SOUTHBANK,SOUTH INDIAN BANK,BSE
136248068,ENERGYDEV,ENERGY DEVELOPMENT COMPANY,BSE
136248580,SONATSOFTW,SONATA SOFTWARE,BSE
136250884,BENGALT,BENGAL TEA & FABRICS,BSE
136251908,NATIONALUM,NATIONAL ALUMINIUM CO.LTD.,BSE
136253444,INDNIPPON,INDIA NIPPON ELECTRICALS,BSE
136257540,NSIL,NALWA SONS INVESTMENTS,BSE
136258308,APARINDS,APAR INDUSTRIES,BSE
136259076,TCIIND,TCI INDUSTRIES,BSE
136260612,ACCELYA,ACCELYA SOLUTIONS INDIA LIMITE,BSE
136261380,ORCHASP,ORCHASP,BSE
136262404,LANDMARC,LANDMARC LEISURE CORPORATION L,BSE
136263940,HCLTECH,HCL TECHNOLOGIES,BSE
136264708,TCFCFINQ,TCFC FINANCE,BSE
136264964,GEOJITFSL,GEOJIT FINANCIAL SERVICES LIMI,BSE
136265220,JINDALSTEL,JINDAL STEEL & POWER,BSE
136266244,BLBLIMITED,BLB,BSE
136267780,GLENMARK,GLENMARK PHARMACEUTICALS,BSE
136268804,WOCKPHARMA,WOCKHARDT,BSE
136269572,INTEGHIT,INTEGRATED HITECH,BSE
136269828,KJMCCORP,KJMC CORPORATE ADVISORS (INDIA,BSE
136270084,INDSWFTLAB,IND-SWIFT LABORATORIES,BSE
136271108,GEPIL,GE POWER INDIA,BSE
136271364,SHREERAMA,SHREE RAMA MULTI-TECH,BSE
136272132,MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS,BSE
136272644,GROARC,GROARC INDUSTRIES INDIA LIMITE,BSE
136273924,VAARAD,VAARAD VENTURES,BSE
136274180,ZYDUSLIFE,ZYDUS LIFESCIENCES ,BSE
136274692,SHIVACEM,SHIVA CEMENT,BSE
136274948,CINEVISTA,CINEVISTA,BSE
136275460,INTENTECH,INTENSE TECHNOLOGIES,BSE
136276228,DANLAW,DANLAW TECHNOLOGIES INDIA,BSE
136276740,AJANTPHARM,AJANTA PHARMA,BSE
136276996,CURAA,CURA TECHNOLOGIES,BSE
136277252,HBPOR,HB PORTFOLIO,BSE
136277508,HBESD,HB ESTATE DEVELOPERS,BSE
136277764,AMBICAAGAR,AMBICA AGARBATHIES & AROMA IND,BSE
136278020,BARONINF,BARON INFOTECH,BSE
136278788,COMPUSOFT,COMPUCOM SOFTWARE,BSE
136279044,OMNIAX,OMNI AXS SOFTWARE,BSE
136279300,IZMO,IZMO ,BSE
136279812,TVSMOTOR,TVS MOTOR COMPANY,BSE
136280068,SOFTSOL,SOFTSOL INDIA,BSE
136280324,ACLGATI,ALLCARGO GATI,BSE
136281092,SUBEXLTD,SUBEX,BSE
136281348,TCI,TRANSPORT CORPORATION OF INDIA,BSE
136281604,PADMALAYAT,PADMALAYA TELEFILMS,BSE
136281860,AKSHOPTFBR,AKSH OPTIFIBRE,BSE
136282628,VIRGOGLOB,VIRGO GLOBAL ,BSE
136282884,PICTUREHS,PICTUREHOUSE MEDIA,BSE
136283140,TRIVENI,TRIVENI ENGINEERING & INDUSTRI,BSE
136283396,MUKTAARTS,MUKTA ARTS,BSE
136283908,HITKITGLO,HIT KIT GLOBAL SOLUTIONS,BSE
136284676,NAGPI,NAGPUR POWER & INDUSTRIES,BSE
136285444,DSSL,DYNACONS SYSTEMS & SOLUTIONS L,BSE
136285700,PNBGILTS,PNB GILTS,BSE
136286468,RAMCOIND,RAMCO INDUSTRIES,BSE
136286724,RAMCOSYS,RAMCO SYSTEMS,BSE
136286980,TTML,TATA TELESERVICES (MAHARASHTRA,BSE
136287236,VIRINCHI,VIRINCHI ,BSE
136287492,WEPSOLN,WEP SOLUTIONS,BSE
136287748,STLTECH,STERLITE TECHNOLOGIES,BSE
136288004,TIPSMUSIC,TIPS MUSIC,BSE
136288260,UMIYA-MRO,UMIYA BUILDCON,BSE
136288772,UNIVARTS,UNIVERSAL ARTS,BSE
136289028,FIRSTFIN,FIRST FINTEC,BSE
136289284,BABA,BABA ARTS,BSE
136289796,BALAJITELE,BALAJI TELEFILMS,BSE
136290308,TYCHE,TYCHE INDUSTRIES,BSE
136290820,CALSOFT,CALIFORNIA SOFTWARE CO.LTD.,BSE
136291076,PNC,PRITISH NANDY COMMUNICATIONS L,BSE
136291332,IOB,INDIAN OVERSEAS BANK,BSE
136291844,TAJGVK,TAJGVK HOTELS & RESORTS,BSE
136292356,CREATIVEYE,CREATIVE EYE,BSE
136293124,AXISCADES,AXISCADES TECHNOLOGIES,BSE
136293636,KONNDOR,KONNDOR INDUSTRIES,BSE
136293892,UMESLTD,USHA MARTIN EDUCATION & SOLUTI,BSE
136294404,BSOFT,BIRLASOFT,BSE
136294916,USGTECH,USG TECH SOLUTIONS,BSE
136295172,4THGEN,FOURTH GENERATION INFORMATION,BSE
136295428,7TEC,SAVEN TECHNOLOGIES,BSE
136295940,AVANTEL,AVANTEL,BSE
136296196,MOSCHIP,MOSCHIP TECHNOLOGIES,BSE
136296452,MEGASOFT,MEGASOFT,BSE
136296964,TRANSCOR,TRANSCORP INTERNATIONAL,BSE
136297732,CEREBRAINT,CEREBRA INTEGRATED TECHNOLOGIE,BSE
136298500,NEXTMEDIA,NEXT MEDIAWORKS,BSE
136299268,SMARTLINK,SMARTLINK HOLDINGS ,BSE
136300548,GODREJCP,GODREJ CONSUMER PRODUCTS,BSE
136300804,GENUSPRIME,GENUS PRIME INFRA,BSE
136302084,BFUTILITIE,BF UTILITIES,BSE
136302596,UNITDSPR,UNITED SPIRITS,BSE
136303364,SANINFRA,SANMIT INFRA,BSE
136304388,OLECTRA,OLECTRA GREENTECH,BSE
136304644,MPSLTD,MPS,BSE
136305412,CERA,CERA SANITARYWARE,BSE
136305668,TSPIRITUAL,T.SPIRITUAL WORLD,BSE
136308228,BHARTIARTL,BHARTI AIRTEL,BSE
136308484,SHALIWIR,SHALIMAR WIRES INDUSTRIES,BSE
136308740,COMPINFO,COMPUAGE INFOCOM,BSE
136308996,GULPOLY,GULSHAN POLYOLS,BSE
136309764,PONNIERODE,PONNI SUGARS (ERODE),BSE
136310020,PNB,PUNJAB NATIONAL BANK,BSE
136311300,OFSS,ORACLE FINANCIAL SERVICES SOFT,BSE
136311556,HAZOOR,HAZOOR MULTI PROJECTS,BSE
136311812,KAMAHOLD,KAMA HOLDINGS,BSE
136313604,APTECHT,APTECH,BSE
136314116,UNIONBANK,UNION BANK OF INDIA,BSE
136314372,UBL,UNITED BREWERIES,BSE
136315140,NOIDATOLL,NOIDA TOLL BRIDGE COMPANY,BSE
136315396,GRANULES,GRANULES INDIA,BSE
136315652,CANBK,CANARA BANK,BSE
136316164,BLIL,BALMER LAWRIE INVESTMENTS,BSE
136316420,POKARNA,POKARNA,BSE
136316932,DIVISLAB,DIVIS LABORATORIES,BSE
136318212,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS,BSE
136319236,RADICO,RADICO KHAITAN,BSE
136320004,MARUTI,MARUTI SUZUKI INDIA,BSE
136320772,RAJPALAYAM,RAJAPALAYAM MILLS,BSE
136321028,NAVINFLUOR,NAVIN FLUORINE INTERNATIONAL L,BSE
136321284,UCOBANK,UCO BANK,BSE
136321796,BAGFILMS,B.A.G.FILMS & MEDIA,BSE
136322052,JSL,JINDAL STAINLESS,BSE
136322308,SUPRAJIT,SUPRAJIT ENGINEERING,BSE
136323332,TVSELECT,TVS ELECTRONICS,BSE
136323588,IGL,INDRAPRASTHA GAS,BSE
136323844,TVTODAY,TV TODAY NETWORK,BSE
136325380,PALREDTEC,PALRED TECHNOLOGIES,BSE
136325636,PETRONET,PETRONET LNG,BSE
136325892,BIOCON,BIOCON,BSE
136326148,PTC,PTC INDIA,BSE
136326404,MAHABANK,BANK OF MAHARASHTRA,BSE
136326916,RKFORGE,RAMKRISHNA FORGINGS,BSE
136327172,DATAMATICS,DATAMATICS GLOBAL SERVICES,BSE
136327428,NDTV,NEW DELHI TELEVISION,BSE
136327940,STAR,STRIDES PHARMA SCIENCE,BSE
136328196,JPASSOCIAT,JAIPRAKASH ASSOCIATES,BSE
136329732,ULTRACEMCO,ULTRATECH CEMENT,BSE
136329988,UNOMINDA,UNO MINDA ,BSE
136330244,TCS,TATA CONSULTANCY SERVICES,BSE
136330500,COFORGE,COFORGE,BSE
136331012,GULFPETRO,GP PETROLEUMS,BSE
136332292,CENTURYPLY,CENTURY PLYBOARDS (I),BSE
136333572,WELENT,WELSPUN ENTERPRISES LIMTED,BSE
136334084,NTPC,NTPC,BSE
136346628,SALSTEEL,S.A.L.STEEL,BSE
136346884,JBMA,JBM AUTO,BSE
136348164,DWARKESH,DWARIKESH SUGAR INDUSTRIES,BSE
136348676,INDOCO,INDOCO REMEDIES,BSE
136348932,VIPCLOTHNG,VIP CLOTHING ,BSE
136349188,IMPEXFERRO,IMPEX FERRO TECH,BSE
136349700,XCHANGING,XCHANGING SOLUTIONS,BSE
136350980,MORARJEE,MORARJEE TEXTILES,BSE
136351748,JINDALPHOT,JINDAL PHOTO,BSE
136352260,POCL,PONDY OXIDES & CHEMICALS,BSE
136352516,JPPOWER,JAIPRAKASH POWER VENTURES LIMI,BSE
136352772,3IINFOLTD,3I INFOTECH,BSE
136353284,GOKEX,GOKALDAS EXPORTS,BSE
136354052,ALLDIGI,ALLDIGI TECH ,BSE
136354820,IIFL,IIFL FINANCE,BSE
136355076,MANGALAM,MANGALAM DRUGS & ORGANICS,BSE
136355332,SHOPERSTOP,SHOPPERS STOP,BSE
136355844,CYBERMEDIA,CYBER MEDIA (INDIA),BSE
136356100,NDL,NANDAN DENIM,BSE
136356356,JSWHL,JSW HOLDINGS,BSE
136356868,JKCEMENT,J.K.CEMENT,BSE
136357124,BEEYU,BEEYU OVERSEAS,BSE
136357892,YESBANK,YES BANK,BSE
136358148,NECLIFE,NECTAR LIFESCIENCES,BSE
136358404,MSPL,MSP STEEL & POWER,BSE
136358660,SPLIL,SPL INDUSTRIES,BSE
136358916,KTKBANK,KARNATAKA BANK,BSE
136359428,MCLEODRUSS,MCLEOD RUSSEL INDIA,BSE
136359940,FACORALL,FACOR ALLOYS,BSE
136361220,RML,RANE (MADRAS),BSE
136361476,HTMEDIA,HT MEDIA,BSE
136361732,SASKEN,SASKEN TECHNOLOGIES ,BSE
136362244,RAJVIR,RAJVIR INDUSTRIES,BSE
136362500,FCSSOFT,FCS SOFTWARE SOLUTIONS,BSE
136362756,SUZLON,SUZLON ENERGY,BSE
136363012,AURIONPRO,AURIONPRO SOLUTIONS,BSE
136363524,RENUKA,SHREE RENUKA SUGARS,BSE
136364292,KMSUGAR,K.M.SUGAR MILLS,BSE
136364548,BASML,BANNARI AMMAN SPINNING MILLS L,BSE
136365060,PBAINFRA,PBA INFRASTRUCTURE,BSE
136366852,AIAENG,AIA ENGINEERING,BSE
136367108,EKC,EVEREST KANTO CYLINDER,BSE
136367620,KERNEX,KERNEX MICROSYSTEMS (INDIA) LT,BSE
136367876,REPRO,REPRO INDIA,BSE
136368388,PVRINOX,PVR INOX,BSE
136369668,ASMS,BARTRONICS INDIA,BSE
136369924,CELEBRITY,CELEBRITY FASHIONS,BSE
136370180,EDUCOMP,EDUCOMP SOLUTIONS,BSE
136370692,NITINSPIN,NITIN SPINNERS,BSE
136370948,ROHLTD,ROYAL ORCHID HOTELS,BSE
136371204,ENIL,ENTERTAINMENT NETWORK (INDIA),BSE
136371460,CELLA,CELLA SPACE,BSE
136371716,GSPL,GUJARAT STATE PETRONET,BSE
136372484,JAGRAN,JAGRAN PRAKASHAN,BSE
136372996,DYNPRO,DYNEMIC PRODUCTS,BSE
136373252,GVKPIL,GVK POWER & INFRASTRUCTURE,BSE
136373764,SADBHAV,SADBHAV ENGINEERING,BSE
136374276,RCOM,RELIANCE COMMUNICATIONS,BSE
136374532,SAKUMA,SAKUMA EXPORTS,BSE
136374788,KEC,KEC INTERNATIONAL,BSE
136375300,GILLANDERS,GILLANDERS ARBUTHNOT & CO.LTD.,BSE
136375556,INDOTECH,INDO TECH TRANSFORMERS,BSE
136376068,BLKASHYAP,B.L.KASHYAP AND SONS,BSE
136376324,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL,BSE
136376580,VISASTEEL,VISA STEEL,BSE
136376836,NITCO,NITCO,BSE
136377092,MPDL,MPDL,BSE
136377604,SOLARINDS,SOLAR INDUSTRIES INDIA,BSE
136377860,GALLANTT,GALLANTT ISPAT,BSE
136378372,MALUPAPER,MALU PAPER MILLS,BSE
136378628,UTTAMSUGAR,UTTAM SUGAR MILLS,BSE
136378884,SGL,STL GLOBAL,BSE
136379396,KKCL,KEWAL KIRAN CLOTHING,BSE
136379652,SUNTV,SUN TV NETWORK,BSE
136379908,GPIL,GODAWARI POWER & ISPAT,BSE
136380164,RSYSTEMS,R SYSTEMS INTERNATIONAL,BSE
136380676,EMKAY,EMKAY GLOBAL FINANCIAL SERVICE,BSE
136380932,TICL,TWAMEVCONSTRUCTION AND INFRAST,BSE
136381444,LOKESHMACH,LOKESH MACHINES,BSE
136381700,KAMDHENU,KAMDHENU ,BSE
136381956,PAUSHAKLTD,PAUSHAK,BSE
136382468,GTNTEX,GTN TEXTILES,BSE
136382724,INDICAP,INDITRADE CAPITAL,BSE
136383492,PFOCUS,PRIME FOCUS,BSE
136383748,ALLCARGO,ALLCARGO LOGISTICS,BSE
136385028,GMRAIRPORT,GMR AIRPORTS ,BSE
136385284,TECHM,TECH MAHINDRA,BSE
136385540,CIEINDIA,CIE AUTOMOTIVE INDIA ,BSE
136385796,VOLTAMP,VOLTAMP TRANSFORMERS,BSE
136386308,ATLANTAA,ATLANTAA,BSE
136386820,HOVS,HOV SERVICES,BSE
136387076,ACE,ACTION CONSTRUCTION EQUIPMENT,BSE
136387588,GEECEE,GEECEE VENTURES,BSE
136388100,RICHAIND,RICHA INDUSTRIES,BSE
136388356,GAYAPROJ,GAYATRI PROJECTS,BSE
136388612,FIEMIND,FIEM INDUSTRIES,BSE
136389380,JHS,JHS SVENDGAARD LABORATORIES LT,BSE
136389636,DCBBANK,DCB BANK,BSE
136389892,GLOBALVECT,GLOBAL VECTRA HELICORP,BSE
136390148,INSPIRISYS,INSPIRISYS SOLUTIONS ,BSE
136390404,GTLINFRA,GTL INFRASTRUCTURE,BSE
136390660,SHIVAMAUTO,SHIVAM AUTOTECH,BSE
136390916,NAUKRI,INFO EDGE (INDIA),BSE
136391428,TORNTPOWER,TORRENT POWER,BSE
136391684,PARSVNATH,PARSVNATH DEVELOPERS,BSE
136392196,SUTLEJTEX,SUTLEJ TEXTILES & INDUSTRIES L,BSE
136392452,LTFOODS,LT FOODS,BSE
136392708,SOBHA,SOBHA,BSE
136392964,RUCHIRA,RUCHIRA PAPERS,BSE
136394244,TANLA,TANLA PLATFORMS,BSE
136395268,ZEEMEDIA,ZEE MEDIA CORPORATION,BSE
136395524,SITINET,SITI NETWORKS,BSE
136395780,LUMAXTECH,LUMAX AUTO TECHNOLOGIES,BSE
136396036,AUTOIND,AUTOLINE INDUSTRIES,BSE
136396292,NETWORK18,NETWORK18 MEDIA & INVESTMENTS,BSE
136396548,HUBTOWN,HUBTOWN,BSE
136397060,CTE,CAMBRIDGE TECHNOLOGY ENTERPRIS,BSE
136397828,TIIL,TECHNOCRAFT INDUSTRIES (INDIA),BSE
136398084,REDINGTON,REDINGTON ,BSE
136398340,AICHAMP,AI CHAMPDANY INDUSTRIES,BSE
136398596,CINELINE,CINELINE INDIA,BSE
136398852,PGIL,PEARL GLOBAL INDUSTRIES LIMITE,BSE
136399108,FSL,FIRSTSOURCE SOLUTIONS,BSE
136399364,PFC,POWER FINANCE CORPORATION,BSE
136399620,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LT,BSE
136399876,TFL,TRANSWARRANTY FINANCE,BSE
136400388,INDIANB,INDIAN BANK,BSE
136400644,SMSPHARMA,SMS PHARMACEUTICALS,BSE
136401156,ORIENTALTL,ORIENTAL TRIMEX,BSE
136401924,ELAND,E-LAND APPAREL ,BSE
136402436,IDEA,VODAFONE IDEA ,BSE
136403204,JAGJANANI,JAGJANANI TEXTILES,BSE
136403460,RAJTV,RAJ TELEVISION NETWORK,BSE
136403716,PAGEIND,PAGE INDUSTRIES,BSE
136403972,AMDIND,AMD INDUSTRIES,BSE
136404228,LEHAR,LEHAR FOOTWEARS,BSE
136404484,ASTRAL,ASTRAL,BSE
136404996,EMBDL,EMBASSY DEVELOPMENTS,BSE
136405508,CAMLINFINE,CAMLIN FINE SCIENCES,BSE
136405764,ICRA,ICRA,BSE
136406788,DISHTV,DISH TV INDIA,BSE
136407300,SAHYADRI,SAHYADRI INDUSTRIES,BSE
136407556,SRHHYPOLTD,SREE RAYALASEEMA HI-STRENGTH H,BSE
136407812,FORTIS,FORTIS HEALTHCARE,BSE
136408324,TGBHOTELS,TGB BANQUETS AND HOTELS,BSE
136408836,HILTON,HILTON METAL FORGING,BSE
136409092,DELTACORP,DELTA CORP,BSE
136409604,MICEL,MIC ELECTRONICS,BSE
136409860,INSECTICID,INSECTICIDES (INDIA),BSE
136410372,ASAHISONG,ASAHI SONGWON COLORS,BSE
136410884,HARYNACAP,HARYANA CAPFIN,BSE
136411140,TIMETECHNO,TIME TECHNOPLAST,BSE
136411908,HGS,HINDUJA GLOBAL SOLUTIONS,BSE
136413188,NELCAST,NELCAST,BSE
136413700,QUINTEGRA,QUINTEGRA SOLUTIONS,BSE
136413956,V2RETAIL,V2 RETAIL,BSE
136414212,DLF,DLF,BSE
136414468,TARMAT,TARMAT,BSE
136414724,ANKITMETAL,ANKIT METAL & POWER,BSE
136415236,SPARC,SUN PHARMA ADVANCED RESEARCH C,BSE
136415492,HDIL,HOUSING DEVELOPMENT & INFRASTR,BSE
136416004,ADSL,ALLIED DIGITAL SERVICES,BSE
136416772,ALPA,ALPA LABORATORIES,BSE
136417028,SSLEL,SIR SHADI LAL ENTERPRISES,BSE
136417284,OMAXE,OMAXE,BSE
136418308,REFEX,REFEX INDUSTRIES,BSE
136418564,CENTRALBK,CENTRAL BANK OF INDIA,BSE
136418820,SELMC,SEL MANUFACTURING COMPANY,BSE
136419332,ASIANTILES,ASIAN GRANITO INDIA,BSE
136419588,KPRMILL,K.P.R.MILL,BSE
136419844,TAKE,TAKE SOLUTIONS,BSE
136420100,PURVA,PURAVANKARA ,BSE
136420356,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVIC,BSE
136420612,VTMLTD,VTM,BSE
136420868,INDOWIND,INDOWIND ENERGY,BSE
136421124,NAGREEKCAP,NAGREEKA CAPITAL & INFRASTRUCT,BSE
136421380,MAGNUM,MAGNUM VENTURES,BSE
136421892,POWERGRID,POWER GRID CORPORATION OF INDI,BSE
136422148,KSCL,KAVERI SEED COMPANY,BSE
136422404,PAISALO,PAISALO DIGITAL,BSE
136422916,CCCL,CONSOLIDATED CONSTRUCTION CONS,BSE
136423428,SUPREMEINF,SUPREME INFRASTRUCTURE INDIA L,BSE
136423940,MAANALU,MAAN ALUMINIUM,BSE
136424196,IL&FSENGG,IL&FS ENGINEERING AND CONSTRUC,BSE
136425220,PARLEIND,PARLE INDUSTRIES,BSE
136426244,RELIGARE,RELIGARE ENTERPRISES,BSE
136426500,BVCL,BARAK VALLEY CEMENTS,BSE
136427012,RATHIBAR,RATHI BARS,BSE
136427780,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOM,BSE
136428036,EDELWEISS,EDELWEISS FINANCIAL SERVICES L,BSE
136428292,RGL,RENAISSANCE GLOBAL,BSE
136428548,KOLTEPATIL,KOLTE-PATIL DEVELOPERS,BSE
136428804,KAUSHALYA,KAUSHALYA INFRASTRUCTURE DEVEL,BSE
136429060,JYOTHYLAB,JYOTHY LABS,BSE
136429316,ECLERX,ECLERX SERVICES,BSE
136429572,TARIL,TRANSFORMERS AND RECTIFIERS (I,BSE
136429828,BRIGADE,BRIGADE ENTERPRISES,BSE
136430084,BGRENERGY,BGR ENERGY SYSTEMS,BSE
136430596,MANAKSIA,MANAKSIA,BSE
136430852,PORWAL,PORWAL AUTO COMPONENTS,BSE
136431108,PPAP,PPAP,BSE
136431364,ARIES,ARIES AGRO,BSE
136431876,KUANTUM,KUANTUM PAPERS,BSE
136432388,RPOWER,RELIANCE POWER,BSE
136432644,JKIL,J.KUMAR INFRAPROJECTS,BSE
136432900,CORDSCABLE,CORDS CABLE INDUSTRIES,BSE
136433156,KNRCON,KNR CONSTRUCTIONS,BSE
136433668,ONMOBILE,ONMOBILE,BSE
136433924,SEPC,SEPC,BSE
